epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,806.104,1.18153,0.65685,0.80724,1,0.90962,0.93913,0.54498,1.25483,0.7215,0.80875,0.000779,0.000779,0.000779
76,816.67,1.13948,0.6631,0.82447,0.99385,0.91304,0.94211,0.56692,1.2484,0.65038,0.81583,0.0007625,0.0007625,0.0007625
77,827.785,1.0776,0.60266,0.83024,0.99117,0.86957,0.93887,0.55426,1.33944,0.68912,0.82183,0.000746,0.000746,0.000746
78,837.949,1.06288,0.56382,0.80982,0.98786,0.86957,0.94717,0.59855,1.15502,0.61944,0.80291,0.0007295,0.0007295,0.0007295
79,848.539,1.19806,0.68659,0.80619,1,0.90788,0.94262,0.52573,1.26522,0.60441,0.80456,0.000713,0.000713,0.000713
80,859.047,1.1051,0.64075,0.80401,0.90657,0.91304,0.93461,0.59245,1.21274,0.6152,0.80025,0.0006965,0.0006965,0.0006965
81,870.339,1.11787,0.65367,0.80206,0.95417,0.90546,0.94819,0.57404,1.20746,0.62574,0.80031,0.00068,0.00068,0.00068
82,880.818,1.04089,0.57303,0.80299,0.91251,0.90715,0.94274,0.57988,1.15212,0.63289,0.79418,0.0006635,0.0006635,0.0006635
83,891.891,1.01349,0.55778,0.79685,0.9443,0.82609,0.93035,0.53284,1.31983,0.70608,0.80321,0.000647,0.000647,0.000647
84,902.959,1.01784,0.55321,0.80832,1,0.86704,0.94631,0.55176,1.23982,0.80195,0.80443,0.0006305,0.0006305,0.0006305
85,912.983,0.97689,0.54153,0.77893,1,0.8641,0.94513,0.5481,1.31003,0.80873,0.81265,0.000614,0.000614,0.000614
86,922.206,1.11172,0.57735,0.82621,1,0.86804,0.95193,0.59346,1.30617,0.77844,0.81124,0.0005975,0.0005975,0.0005975
87,933.295,0.97831,0.55317,0.79196,1,0.86936,0.95677,0.5544,1.32446,0.74039,0.80864,0.000581,0.000581,0.000581
88,944.558,1.0746,0.55048,0.79997,1,0.89183,0.95578,0.54369,1.27297,0.79628,0.80581,0.0005645,0.0005645,0.0005645
89,955.151,1.04189,0.56634,0.81136,1,0.88968,0.95255,0.55333,1.28575,0.75435,0.81233,0.000548,0.000548,0.000548
90,965.096,1.03709,0.55794,0.80246,0.90652,0.91304,0.94655,0.56087,1.20306,0.7626,0.81435,0.0005315,0.0005315,0.0005315
91,976.114,1.0141,0.54414,0.808,0.90968,0.95652,0.95314,0.5708,1.17772,0.69142,0.80217,0.000515,0.000515,0.000515
92,986.674,1.06218,0.58259,0.79751,1,0.95293,0.9633,0.58043,1.23372,0.57287,0.80005,0.0004985,0.0004985,0.0004985
93,997.688,1.00712,0.58659,0.78128,1,0.94861,0.96404,0.57482,1.22193,0.57823,0.80323,0.000482,0.000482,0.000482
94,1008.24,0.98899,0.5967,0.80411,1,0.95253,0.96213,0.57665,1.25308,0.59227,0.80382,0.0004655,0.0004655,0.0004655
95,1017.8,1.06758,0.59652,0.79863,1,0.94955,0.96267,0.56957,1.26313,0.5791,0.80012,0.000449,0.000449,0.000449
96,1029.9,0.95055,0.55304,0.81326,0.98626,0.91304,0.95917,0.52909,1.32227,0.71108,0.80667,0.0004325,0.0004325,0.0004325
97,1041.59,0.95116,0.51453,0.81471,1,0.89315,0.95336,0.54431,1.30173,0.67457,0.809,0.000416,0.000416,0.000416
98,1051.56,0.99816,0.51182,0.80244,0.91076,0.95652,0.95417,0.55779,1.31662,0.59789,0.80652,0.0003995,0.0003995,0.0003995
99,1062.65,1.11086,0.62074,0.82154,0.91531,0.94027,0.95391,0.52758,1.38288,0.60884,0.81255,0.000383,0.000383,0.000383
100,1073.09,1.01536,0.55053,0.7925,0.9139,0.92336,0.95122,0.59467,1.17882,0.58442,0.797,0.0003665,0.0003665,0.0003665
101,1083.05,0.98031,0.51731,0.78837,1,0.86781,0.95587,0.65234,1.10751,0.57256,0.7902,0.00035,0.00035,0.00035
102,1094.46,0.99684,0.49225,0.81335,1,0.90143,0.95562,0.5877,1.25928,0.60244,0.80219,0.0003335,0.0003335,0.0003335
103,1105.09,0.9768,0.52436,0.80167,1,0.90561,0.95922,0.56056,1.30556,0.61871,0.80721,0.000317,0.000317,0.000317
104,1116.5,0.94165,0.49788,0.78553,1,0.91929,0.96203,0.63376,1.11048,0.53056,0.79074,0.0003005,0.0003005,0.0003005
105,1126.98,0.8806,0.50207,0.78339,1,0.93386,0.96358,0.60668,1.14287,0.57128,0.79209,0.000284,0.000284,0.000284
106,1138.09,0.95189,0.48212,0.77885,1,0.90763,0.96054,0.53251,1.2287,0.59942,0.80181,0.0002675,0.0002675,0.0002675
107,1146.92,0.84474,0.4563,0.79921,1,0.91642,0.96343,0.59177,1.14914,0.56635,0.79688,0.000251,0.000251,0.000251
108,1158.8,0.96718,0.47322,0.78276,1,0.91701,0.96203,0.60318,1.13525,0.54285,0.79771,0.0002345,0.0002345,0.0002345
109,1168.65,0.93064,0.49413,0.77805,1,0.908,0.9607,0.5614,1.21115,0.58576,0.80507,0.000218,0.000218,0.000218
110,1179.04,0.97545,0.49098,0.781,1,0.90711,0.96049,0.56189,1.22673,0.61247,0.80665,0.0002015,0.0002015,0.0002015
111,1198.49,0.91801,0.4982,0.79683,1,0.91385,0.96157,0.59404,1.16854,0.58182,0.80143,0.000185,0.000185,0.000185
112,1208.92,0.88033,0.49349,0.78447,1,0.86628,0.95875,0.59654,1.16126,0.64302,0.79821,0.0001685,0.0001685,0.0001685
113,1220.17,0.85123,0.50344,0.79254,1,0.86424,0.95526,0.60878,1.12019,0.68227,0.79659,0.000152,0.000152,0.000152
114,1229.39,0.80586,0.50806,0.78233,1,0.86937,0.95704,0.5866,1.09198,0.67808,0.79446,0.0001355,0.0001355,0.0001355
115,1240.53,0.8348,0.49754,0.78814,0.96607,0.91304,0.95813,0.60541,1.09817,0.63978,0.79623,0.000119,0.000119,0.000119
116,1250.77,0.87298,0.53117,0.78078,0.9928,0.91304,0.95762,0.58552,1.12811,0.59732,0.79578,0.0001025,0.0001025,0.0001025
117,1261.17,0.84259,0.47442,0.78277,0.99228,0.91304,0.9577,0.57349,1.14629,0.58035,0.79386,8.6e-05,8.6e-05,8.6e-05
118,1271.5,0.81153,0.46356,0.78899,0.99269,0.91304,0.95832,0.5998,1.11185,0.56639,0.79139,6.95e-05,6.95e-05,6.95e-05
119,1282.48,0.87565,0.50587,0.76594,0.99241,0.91304,0.95901,0.60206,1.10044,0.5629,0.79039,5.3e-05,5.3e-05,5.3e-05
120,1292.91,0.83851,0.47925,0.77517,1,0.94573,0.96117,0.59363,1.11882,0.58862,0.79194,3.65e-05,3.65e-05,3.65e-05
